dynamicColors	mergedColors
AQP11	grey	grey
AQP2	grey	grey
AQP3	blue	blue
AQP4	red	red
AQP5	grey	grey
AQP6	grey	grey
AQP8	grey	grey
AQP9	yellow	magenta
AQR	turquoise	pink
AR	grey	grey
ARAF	turquoise	pink
ARAP2	turquoise	pink
ARAP3	red	red
ARC	red	red
ARCN1	turquoise	pink
AREG	grey	grey
AREL1	turquoise	pink
ARF1	turquoise	pink
ARF3	turquoise	pink
ARF4	grey	grey
ARF6	turquoise	pink
ARFGAP1	brown	brown
ARFGAP2	turquoise	pink
ARFGAP3	turquoise	pink
ARFGEF1	turquoise	pink
ARFGEF2	turquoise	pink
ARFIP1	turquoise	pink
ARFIP2	grey	grey
ARFRP1	brown	brown
ARG1	grey	grey
ARGLU1	brown	brown
ARHGAP1	turquoise	pink
ARHGAP10	grey	grey
ARHGAP11A	blue	blue
ARHGAP12	turquoise	pink
ARHGAP15	yellow	magenta
ARHGAP17	turquoise	pink
ARHGAP18	yellow	magenta
ARHGAP19	turquoise	pink
ARHGAP20	grey	grey
ARHGAP21	turquoise	pink
ARHGAP22	grey	grey
ARHGAP23	green	green
ARHGAP24	red	red
ARHGAP25	yellow	magenta
ARHGAP26	grey	grey
ARHGAP27	turquoise	pink
ARHGAP28	green	green
ARHGAP29	turquoise	pink
ARHGAP30	yellow	magenta
ARHGAP31	yellow	magenta
ARHGAP32	turquoise	pink
ARHGAP33	brown	brown
ARHGAP35	turquoise	pink
ARHGAP39	brown	brown
ARHGAP4	grey	grey
ARHGAP42	turquoise	pink
ARHGAP44	grey	grey
ARHGAP5	turquoise	pink
ARHGAP6	red	red
ARHGAP8	brown	brown
ARHGAP9	magenta	magenta
ARHGDIA	turquoise	pink
ARHGDIB	yellow	magenta
ARHGEF1	brown	brown
ARHGEF10	grey	grey
ARHGEF10L	brown	brown
ARHGEF11	turquoise	pink
ARHGEF12	turquoise	pink
ARHGEF15	red	red
ARHGEF16	brown	brown
ARHGEF17	turquoise	pink
ARHGEF18	turquoise	pink
ARHGEF2	turquoise	pink
ARHGEF26	turquoise	pink
ARHGEF28	grey	grey
ARHGEF3	yellow	magenta
ARHGEF37	grey	grey
